gene,log fold change,p-value,adjusted p-value,cluster
RHOC,-1.2317401,2.9773073164268015e-33,9.35768914782292e-32,Fib1
RPS4Y1,-1.6286656,3.672572742464499e-34,1.1638703037581997e-32,Fib1
FBL,-0.64700246,2.4594521233191904e-34,7.8266939966043e-33,Fib1
JAM2,-1.7241843,8.709273753312721e-35,2.7889760289696396e-33,Fib1
SERPINE2,-1.1882961,7.895525257638948e-35,2.5337005947570362e-33,Fib1
CLEC11A,-0.9368173,4.249158185506494e-35,1.3722175747063783e-33,Fib1
RSRP1,-1.1414201,2.897089722277291e-35,9.395551063224122e-34,Fib1
SH3KBP1,-0.75883406,2.355657699391829e-35,7.672211377017097e-34,Fib1
RSL1D1,-0.5658996,1.2234281444457781e-36,4.0362559193108555e-35,Fib1
SNHG7,-1.3388578,2.7682762270674974e-37,9.212509666330288e-36,Fib1
TNMD,-1.8530924,1.2844550357685214e-37,4.3026426910886326e-36,Fib1
ZFP36L1,-0.45525202,3.120997980724778e-38,1.057056411431729e-36,Fib1
IFITM1,-0.5249392,2.4034124273452755e-38,8.158249961710907e-37,Fib1
HNRNPK,-0.97371113,2.012574140747371e-38,6.846786191518062e-37,Fib1
CYBA,-0.83861345,8.691449436989656e-39,2.9700646565999328e-37,Fib1
NR4A1,-1.6870525,5.555375290962271e-39,1.906929383583117e-37,Fib1
TNC,-2.5400941,3.561465875425204e-39,1.2252565596198195e-37,Fib1
CD74,-1.3099643,1.1779095284519123e-39,4.079947402971193e-38,Fib1
IRF1,-1.6740094,3.6022605672633704e-40,1.2620305083703666e-38,Fib1
EIF3H,-0.52235776,3.5933003547393297e-40,1.2617853544515692e-38,Fib1
IL11RA,-0.8789072,2.7451659885564778e-40,9.661845731612948e-39,Fib1
SLC2A3,-1.8233176,2.136241891674814e-40,7.53604962940711e-39,Fib1
EIF3L,-0.51643056,1.3029662989216283e-40,4.6071319944508966e-39,Fib1
TMEM119,-0.9570004,1.2816510355904524e-40,4.54227832219122e-39,Fib1
MEG3,-1.2242724,6.811407663666374e-41,2.425273940850906e-39,Fib1
DDX5,-0.8765387,4.504077885270025e-41,1.6112362926814902e-39,Fib1
DNAJB1,-0.9457896,3.8581969174168535e-41,1.3834262421019352e-39,Fib1
STMN2,-1.3963922,2.6256071551784793e-41,9.436741010670887e-40,Fib1
SLC5A3,-1.2808647,3.530672470044438e-42,1.296418797594442e-40,Fib1
HMGB1,-0.48210555,5.457700840740426e-43,2.0283790837545016e-41,Fib1
PNRC1,-0.5564661,2.776800733638495e-43,1.0345275903982441e-41,Fib1
WWTR1,-1.0844723,1.637671178154861e-43,6.116241380517238e-42,Fib1
EPB41L4A-AS1,-1.1261779,2.9814136850004955e-44,1.1300519612501878e-42,Fib1
