gene,log fold change,p-value,adjusted p-value,cluster
HMGN2,1.2436565,1.221217057540535e-67,1.3324350395665481e-65,Fib6
GREM2,2.4015832,3.149698243864498e-67,3.4121730975198723e-65,Fib6
GADD45B,1.4224942,6.055010108084405e-67,6.513399957816147e-65,Fib6
HSPB1,0.90696895,2.0662939324931286e-66,2.1918499874189263e-64,Fib6
COL16A1,1.2504959,3.419705417549377e-66,3.602482776073568e-64,Fib6
MOXD1,2.0615826,8.726926358455099e-66,9.130397268863126e-64,Fib6
MFAP2,1.8374563,1.2788639247447173e-65,1.328887513637793e-63,Fib6
TCF4,0.94531167,2.3085716150014727e-65,2.3826642850775334e-63,Fib6
CLEC2B,1.2577252,2.3813048193547452e-65,2.441236987627096e-63,Fib6
ID1,1.6805885,1.1457026730553808e-62,1.1589806841669497e-60,Fib6
FXYD5,1.1809618,1.5827729773262018e-62,1.590582712411693e-60,Fib6
FKBP10,1.4326019,1.6150882223487734e-62,1.61244918930572e-60,Fib6
SERPINH1,0.9694867,1.8832805947773551e-62,1.8679942263132533e-60,Fib6
RPL9,0.94443953,2.390204041026353e-62,2.35550753075339e-60,Fib6
PTN,1.2386429,3.249104010246134e-62,3.161150557739471e-60,Fib6
PTK7,2.1486988,3.5050217988830257e-62,3.3885574669581154e-60,Fib6
CALM2,0.74876535,9.150523036489e-62,8.790832665557829e-60,Fib6
COL13A1,3.9640872,1.1674382278320817e-61,1.1109271686318794e-59,Fib6
RPL39,1.3706148,1.1709281450064326e-61,1.1109271686318794e-59,Fib6
AXIN2,2.5513473,3.7107036048594016e-61,3.498827010137491e-59,Fib6
RABAC1,0.9831673,4.8052312021149895e-61,4.503061755356224e-59,Fib6
RPS19,0.5682183,4.977576363465314e-61,4.636126765361748e-59,Fib6
COL23A1,4.058624,1.2273740150232837e-60,1.1362507926957975e-58,Fib6
ZFP36L1,0.852924,1.5868708047739943e-60,1.4602079242724555e-58,Fib6
SBDS,0.9712106,1.873581083729239e-60,1.7137096439499476e-58,Fib6
HMGB1,0.84538424,2.2339521690889862e-60,2.0311678204068014e-58,Fib6
HNRNPK,1.2686218,2.377647922567111e-60,2.1490279300125812e-58,Fib6
FOS,1.1403897,2.4647305987367387e-60,2.214632935041393e-58,Fib6
PLPP3,0.86170304,2.7012477260970724e-60,2.4129566676101043e-58,Fib6
GUK1,0.9864872,8.450566696731746e-60,7.504791063521943e-58,Fib6
MYO1D,1.5996932,1.0812632637957292e-59,9.546992112416049e-58,Fib6
RND3,1.256841,3.4003705366138106e-59,2.9850953992399976e-57,Fib6
CCDC85B,1.4380586,3.4334600253443497e-59,2.9969201078362826e-57,Fib6
SGCA,2.316903,7.893970625340279e-59,6.812452050964564e-57,Fib6
TMEM98,1.0594298,1.4697975919153674e-58,1.2542546489668846e-56,Fib6
JUN,1.257087,1.7779340126016406e-58,1.5087745579161144e-56,Fib6
CHCHD10,1.1992433,5.6270050444132406e-58,4.7487570195255385e-56,Fib6
LBH,1.7742512,6.617402351307003e-58,5.553891259132663e-56,Fib6
DPP7,1.3856691,7.127676927489698e-58,5.949468036470225e-56,Fib6
PHPT1,1.1103407,4.931347016386294e-57,4.0716932797459805e-55,Fib6
RRBP1,1.0103724,1.1277077777678002e-56,9.261148551292015e-55,Fib6
ROBO2,2.0234087,2.208396077357607e-56,1.8039171166651042e-54,Fib6
S100A6,0.45616835,3.9028971813951977e-56,3.171103959883598e-54,Fib6
PGAM1,1.2181584,4.563918284316472e-56,3.688563586927731e-54,Fib6
ID3,1.0747468,1.52142616784601e-55,1.2231465638867264e-53,Fib6
NPTX2,5.2959294,1.673306640216282e-55,1.3382072737855347e-53,Fib6
ITM2C,1.5536994,2.4526807753523193e-55,1.941176105881175e-53,Fib6
PKM,0.87269807,7.367335437184092e-55,5.771079425794206e-53,Fib6
RPS28,0.8392343,9.556917060820936e-55,7.448056535920399e-53,Fib6
MGST3,0.8142115,1.1800559916428923e-54,9.103714784012717e-53,Fib6
SERF2,0.67882246,1.658532117373094e-54,1.2730692508981915e-52,Fib6
RCN1,0.97420883,1.5054387652005046e-53,1.1440585641013784e-51,Fib6
HSPA1A,1.023996,2.8818521056227815e-53,2.1792223224449498e-51,Fib6
PDLIM2,1.0457786,3.624685669356324e-53,2.7274420492324065e-51,Fib6
CD44,0.77136976,8.135063839049832e-53,6.091328438308146e-51,Fib6
TSC22D3,0.8480101,3.994072399244865e-52,2.976071019437332e-50,Fib6
PPP1R15A,1.0971751,4.981419753845309e-52,3.693746929125587e-50,Fib6
DDX5,1.0303334,8.60523137953891e-52,6.349995619442359e-50,Fib6
C9orf16,1.0931088,1.338800527465558e-51,9.831816373575192e-50,Fib6
ARF5,1.6065888,8.53374034421069e-51,6.207280178943728e-49,Fib6
FKBP8,1.2055513,1.6547401317303881e-50,1.1979220621887051e-48,Fib6
CNN3,0.9817464,1.806902044480256e-50,1.3019070155394297e-48,Fib6
MYL12A,0.8049451,4.1764768578063194e-50,2.995102535351715e-48,Fib6
ARL2,1.0255688,5.367103234832415e-50,3.8309580332740726e-48,Fib6
TMED9,1.104978,1.1512708196443076e-49,8.17937756747293e-48,Fib6
EMX2,1.4324882,1.2282168444833295e-49,8.685653842353175e-48,Fib6
IGFBP2,2.8033528,1.5662379468694641e-49,1.1025015962410629e-47,Fib6
KRT10,0.94970363,1.8353103848632902e-49,1.2859800976507685e-47,Fib6
IL11RA,1.0221556,9.62441949349098e-49,6.682409443776123e-47,Fib6
FMOD,0.85240537,1.5838037705902846e-47,1.0848700715590403e-45,Fib6
COPE,1.0184376,7.108134896072182e-47,4.8471768097099364e-45,Fib6
CTSH,1.3531319,8.615919620544908e-47,5.84925209794771e-45,Fib6
NEDD8,0.82709587,1.1175018853772545e-46,7.553027123512196e-45,Fib6
IER2,1.0733144,1.141405516627125e-46,7.680603201092217e-45,Fib6
CEBPD,0.94224596,1.3780700065602948e-46,9.232464627284432e-45,Fib6
SMOC2,1.0313152,2.5525242974392467e-46,1.7026117311521614e-44,Fib6
DUT,0.97185886,7.701106272272457e-46,5.114539056911382e-44,Fib6
RPL36A,0.9367711,2.242287057021636e-45,1.476333396379547e-43,Fib6
ARL6IP4,0.9031772,3.021553259894394e-45,1.980868070596003e-43,Fib6
EEF1D,0.7410822,3.216604380404091e-45,2.0997278594304483e-43,Fib6
SPCS2,0.9477499,3.6844781055499374e-45,2.3949107686074593e-43,Fib6
TPI1,0.79796875,1.5118260879966223e-44,9.78523029413068e-43,Fib6
LAMC3,1.2933227,2.4728383738240903e-44,1.593780850639788e-42,Fib6
GADD45GIP1,1.0240391,2.838359965463479e-44,1.8216785072459935e-42,Fib6
HEXA,1.0291818,2.9558028795674224e-44,1.8891166939494717e-42,Fib6
H3F3B,0.6093729,4.733828899836293e-44,3.0128848518749743e-42,Fib6
TYMP,1.2672023,8.907962682918703e-44,5.6226913215530246e-42,Fib6
MYO1B,1.4892511,2.7790711326906775e-43,1.7469264013107037e-41,Fib6
PAPPA,2.164058,3.2879183827233398e-43,2.058317758036845e-41,Fib6
FAM3C,0.97384286,4.023123995224252e-43,2.508294654165325e-41,Fib6
CFL1,0.68315125,6.920149269875326e-43,4.296962605583154e-41,Fib6
LRPAP1,0.8887745,7.660376423728968e-43,4.737338051516599e-41,Fib6
MEF2A,1.4246916,1.0752605350836534e-42,6.59622677646699e-41,Fib6
ELN,0.77773786,1.583436198004881e-42,9.67479516980982e-41,Fib6
HLA-C,0.6638972,2.8725011853858066e-42,1.748105801066462e-40,Fib6
PHLDA1,2.1390004,3.088521558675414e-42,1.8721097939986882e-40,Fib6
MAMDC2,1.5702438,4.887503360601499e-42,2.950854301707032e-40,Fib6
FXYD1,0.993196,5.7110691192170094e-42,3.4345110549621976e-40,Fib6
HCFC1R1,0.91265213,6.414166295680427e-42,3.842211379079158e-40,Fib6
MRGPRF,1.4314663,1.1617759384076805e-41,6.93208103874114e-40,Fib6
MINOS1,0.8712313,1.2883395087840365e-41,7.657348636838972e-40,Fib6
RGS3,2.1480746,1.4515960047907367e-41,8.594236036115698e-40,Fib6
DDIT4,1.5880225,1.517299187204933e-41,8.948550225697047e-40,Fib6
AKR7A2,1.2567712,1.6291956018718768e-41,9.571524160997275e-40,Fib6
C9orf3,1.5103115,3.610991743983781e-41,2.1052633163874907e-39,Fib6
COCH,9.435003,0.0,0.0,Fib7
SPARCL1,4.060409,0.0,0.0,Fib7
ASPN,4.529483,0.0,0.0,Fib7
TNN,4.6782937,0.0,0.0,Fib7
OGN,3.467033,0.0,0.0,Fib7
F13A1,4.0565395,0.0,0.0,Fib7
TCF4,2.5890114,0.0,0.0,Fib7
PTGDS,3.0530026,0.0,0.0,Fib7
IGFBP5,2.6047084,0.0,0.0,Fib7
CYP1B1,3.7203329,0.0,0.0,Fib7
APCDD1,2.8809524,4.317116031303871e-304,3.470734072535086e-301,Fib7
CRABP1,5.2238917,7.422496323233066e-295,5.398982444637385e-292,Fib7
PLXDC1,3.7032108,2.5081607933364043e-243,1.532486244728543e-240,Fib7
FZD1,3.5093787,5.286240045388021e-240,2.990641359011186e-237,Fib7
FIBIN,2.9414485,8.549290095748723e-228,4.353013540418725e-225,Fib7
MXRA5,2.146387,4.787936975231913e-214,2.2162344635353777e-211,Fib7
TRPS1,3.479823,1.1596317978826499e-201,5.060964489330708e-199,Fib7
FMOD,2.0497906,2.2265364326586885e-184,8.720601027913198e-182,Fib7
PLPP5,3.8334467,3.3809237956544963e-184,1.2910902744655607e-181,Fib7
TNMD,2.9156263,3.3523753569931573e-183,1.248964233611475e-180,Fib7
FN1,1.5834569,7.288767741114874e-174,2.65085541060785e-171,Fib7
SLITRK6,6.7580314,8.785896928556757e-163,2.982323901860099e-160,Fib7
DKK2,2.43325,1.9784057912598222e-160,6.4298188215944224e-158,Fib7
ZBTB20,1.6844388,2.9133648320841295e-157,9.271176627101058e-155,Fib7
PGRMC1,1.7998167,2.5509340402089325e-142,6.836055695472184e-140,Fib7
MAFB,2.0814066,1.529523121474655e-140,4.0281837380216133e-138,Fib7
CTSK,1.0126799,1.9443006471708454e-127,4.640498810239791e-125,Fib7
PRELP,1.4055436,9.959482488179545e-121,2.1733013572420367e-118,Fib7
