"","gene","log.fold.change","p.value","adjusted.p.value","cluster","adjusted.p.value_minus_log10"
"317","AKAP12",1.5010798,1.29576331716685e-86,4.08941832019084e-85,"Fib1",84.3883384617474
"318","TSPAN4",1.3353484,5.36375103951957e-86,1.68582915902596e-84,"Fib1",83.7731864386387
"319","PXN",1.8313899,6.97411981405337e-86,2.17852106665982e-84,"Fib1",83.6618382360083
"320","PDLIM1",1.3978834,5.44478318887891e-86,1.70778363881161e-84,"Fib1",83.7675671514586
"321","YWHAB",0.88097817,6.90889689671966e-86,2.1625696741269e-84,"Fib1",83.6650298914463
"322","ARL6IP5",0.8605298,7.87647627529535e-86,2.45037016507406e-84,"Fib1",83.6107683040004
"323","PRUNE2",3.2613707,5.37662304337108e-85,1.66250844104237e-83,"Fib1",82.779236140979
"324","C14orf132",1.9988427,3.35938428303462e-85,1.04086399438852e-83,"Fib1",82.9826060143371
"325","CYB5A",1.2051089,6.9468217669094e-85,2.14369095938467e-83,"Fib1",82.6688378236005
"326","SGCA",2.7526813,1.84028293228446e-84,5.65600036029076e-83,"Fib1",82.2474905715463
"327","RECK",1.3339571,1.09241277523127e-84,3.36423490759225e-83,"Fib1",82.4731136872174
"328","TUBB2A",1.3879944,7.35894986953211e-84,2.24815918514206e-82,"Fib1",81.6481729409761
"329","RAB7A",0.94902986,8.22126999037615e-84,2.50658481243505e-82,"Fib1",81.6009175960781
"330","TPM1",0.8821376,8.43453700517833e-84,2.56648511462349e-82,"Fib1",81.5906612502638
"331","CAPNS1",0.8887845,1.06849639532264e-83,3.24478776114382e-82,"Fib1",81.4888137047738
"332","BDKRB2",5.4779305,9.39472204934178e-83,2.81381135889599e-81,"Fib1",80.5507050215198
"333","NUPR1",0.9816695,2.52802015638582e-83,7.63152329818052e-82,"Fib1",81.1173887655885
"334","ADA",3.2192576,1.4573548094565e-82,4.33939468117895e-81,"Fib1",80.3625708476669
"335","DDAH2",0.9999956,6.2579385876797e-83,1.8816931481655e-81,"Fib1",80.7254511964899
"336","ALDH1A1",1.2667512,1.02174014786058e-82,3.05422324042472e-81,"Fib1",80.5150992225051
"337","FILIP1L",1.7708389,4.87969881487789e-82,1.44732814363611e-80,"Fib1",79.839432992852
"338","ASAP2",2.3877947,6.97504409565066e-82,2.06480229769504e-80,"Fib1",79.6851215251846
"339","DIAPH1",1.4621767,1.1144448293721e-81,3.29267790496301e-80,"Fib1",79.4824507505935
"340","MMP27",2.205265,1.95243121660417e-81,5.7574105856426e-80,"Fib1",79.2397727980383
"341","ACE",4.807662,3.03249977970472e-80,8.83996834637205e-79,"Fib1",78.0535492900798
"342","CDKN1C",1.3948272,6.6152845497139e-81,1.94323983647846e-79,"Fib1",78.711473595061
"343","CPQ",1.1661515,1.41378822340427e-80,4.14503169145876e-79,"Fib1",78.3824721446377
"344","PCSK5",2.1172762,5.90302260633667e-80,1.71423327588959e-78,"Fib1",77.7659300788317
"345","RNASE4",1.1257654,1.98646590355632e-79,5.73596723569429e-78,"Fib1",77.2413933380581
"346","MATN4",4.2920933,1.28978585394245e-78,3.70328551108475e-77,"Fib1",76.4314128039893
"347","LRP1",0.8385907,9.7408621542462e-79,2.80210300199832e-77,"Fib1",76.5525159046044
"348","EMX2OS",1.4130083,4.76489176065303e-78,1.35790525455177e-76,"Fib1",75.8671305311312
"349","MEST",2.316601,1.62311641700454e-77,4.59131542032302e-76,"Fib1",75.3380628704663
"350","NUCB2",1.0431286,1.47968336876527e-77,4.1933512908886e-76,"Fib1",75.3774387537892
"351","SEMA3D",2.1775177,2.68140878037653e-77,7.57089078008346e-76,"Fib1",75.1208530190316
"352","FGFR1",0.88010406,7.22662010887363e-77,2.03665354544363e-75,"Fib1",74.6910828424279
